indicatore;area;dipartimento;n;R;pos;num_dip;quartile
R1;5;BIOLOGIA (DiBio);114;1.11;29;140;4
R1;5;MEDICINA - DIMED;10;1.31;3;140;2
R1;5;MEDICINA MOLECOLARE - DMM;24;1.12;26;140;3
R1;5;SCIENZE BIOMEDICHE - DSB;19;1.12;26;140;3
R1;5;SCIENZE DEL FARMACO - DSF;22;0.99;76;140;3
R1;6;MEDICINA - DIMED;65;0.99;88;151;4
R1;6;MEDICINA MOLECOLARE - DMM;18;1.45;1;151;2
R1;6;NEUROSCIENZE - DNS;85;1.06;58;151;4
R1;6;SALUTE DELLA DONNA E DEL BAMBINO - SDB;31;1.21;18;151;3
R1;6;SCIENZE BIOMEDICHE - DSB;14;1.25;13;151;2
R1;6;SCIENZE CARDIO- TORACO-VASCOLARI E SANITA' PUBBLICA;86;1.06;58;151;4
R1;6;SCIENZE CHIRURGICHE ONCOLOGICHE E GASTROENTEROLOGICHE- DiSCOG;29;1.07;56;151;2
R1_2;5;BIOLOGIA (DiBio);250;1.15;26;211;4
R1_2;5;BIOMEDICINA COMPARATA E ALIMENTAZIONE (BCA);30;0.9;159;211;3
R1_2;5;MEDICINA - DIMED;31;1.12;38;211;3
R1_2;5;MEDICINA MOLECOLARE - DMM;77;1.12;38;211;4
R1_2;5;NEUROSCIENZE - DNS;19;0.94;134;211;2
R1_2;5;SCIENZE BIOMEDICHE - DSB;125;1.08;55;211;4
R1_2;5;SCIENZE DEL FARMACO - DSF;65;1.02;84;211;4
R1_2;6;MEDICINA - DIMED;235;1.05;72;189;4
R1_2;6;MEDICINA MOLECOLARE - DMM;69;1.2;20;189;2
R1_2;6;NEUROSCIENZE - DNS;174;1.09;56;189;4
R1_2;6;SALUTE DELLA DONNA E DEL BAMBINO - SDB;127;1.17;25;189;3
R1_2;6;SCIENZE BIOMEDICHE - DSB;94;1.36;3;189;3
R1_2;6;SCIENZE CARDIO- TORACO-VASCOLARI E SANITA' PUBBLICA;210;1.06;67;189;4
R1_2;6;SCIENZE CHIRURGICHE ONCOLOGICHE E GASTROENTEROLOGICHE- DiSCOG;170;1;98;189;4
R2;5;BIOLOGIA (DiBio);136;1.19;10;185;4
R2;5;BIOMEDICINA COMPARATA E ALIMENTAZIONE (BCA);23;0.91;133;185;3
R2;5;MEDICINA - DIMED;21;1.03;65;185;3
R2;5;MEDICINA MOLECOLARE - DMM;53;1.12;31;185;4
R2;5;NEUROSCIENZE - DNS;17;0.92;128;185;2
R2;5;SCIENZE BIOMEDICHE - DSB;106;1.06;51;185;4
R2;5;SCIENZE DEL FARMACO - DSF;43;1.03;65;185;4
R2;6;MEDICINA - DIMED;170;1.07;54;176;4
R2;6;MEDICINA MOLECOLARE - DMM;51;1.11;38;176;2
R2;6;NEUROSCIENZE - DNS;89;1.12;35;176;3
R2;6;SALUTE DELLA DONNA E DEL BAMBINO - SDB;96;1.16;23;176;3
R2;6;SCIENZE BIOMEDICHE - DSB;80;1.37;3;176;3
R2;6;SCIENZE CARDIO- TORACO-VASCOLARI E SANITA' PUBBLICA;124;1.07;54;176;4
R2;6;SCIENZE CHIRURGICHE ONCOLOGICHE E GASTROENTEROLOGICHE- DiSCOG;141;0.98;102;176;4
