dipartimento;sigla;n_attesi;n_mobilita;H1;R1;IRD1;H2;R2;IRD2;H1_2;R1_2;IRD1_2
AGRONOMIA ANIMALI ALIMENTI RISORSE NATURALI E AMBIENTE - DAFNAE;DAFNAE;212;131;0.13;1.16;0.16;0.13;1.05;0.13;0.13;1.09;0.14
BENI CULTURALI (DBC);DBC;145;89;0.09;1.02;0.1;0.09;1.07;0.09;0.09;1.05;0.09
BIOLOGIA (DiBio);DiBio;257;140;0.19;1.11;0.22;0.14;1.19;0.16;0.16;1.15;0.18
BIOMEDICINA COMPARATA E ALIMENTAZIONE (BCA);BCA;130;75;0.09;0.91;0.08;0.07;0.94;0.07;0.08;0.93;0.07
DIRITTO PRIVATO E CRITICA DEL DIRITTO (DPCD);DPCD;147;69;0.13;1.06;0.14;0.07;0.92;0.06;0.09;0.99;0.09
DIRITTO PUBBLICO, INTERNAZIONALE E COMUNITARIO - DiPIC;DiPIC;142;51;0.15;0.99;0.15;0.05;1.02;0.05;0.09;1.0;0.09
FILOSOFIA, SOCIOLOGIA, PEDAGOGIA E PSICOLOGIA APPLICATA (FISPPA);FISPPA;352;246;0.18;1.12;0.2;0.24;1.07;0.26;0.22;1.09;0.24
"FISICA E ASTRONOMIA ""GALILEO GALILEI"" - DFA";DFA;387;214;0.29;1.09;0.31;0.21;1.07;0.22;0.24;1.07;0.26
GEOSCIENZE;Geoscienze;175;100;0.12;1.14;0.14;0.1;1.15;0.11;0.11;1.14;0.12
INGEGNERIA CIVILE, EDILE E AMBIENTALE - ICEA;ICEA;237;148;0.15;0.97;0.14;0.14;0.9;0.13;0.15;0.93;0.14
INGEGNERIA DELL'INFORMAZIONE - DEI;DEI;330;234;0.16;1.03;0.17;0.23;1.05;0.24;0.2;1.05;0.21
INGEGNERIA INDUSTRIALE - DII;DII;367;225;0.24;0.98;0.23;0.22;1.03;0.23;0.23;1.01;0.23
"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM";DM;340;209;0.22;1.06;0.23;0.2;1.08;0.22;0.21;1.07;0.22
MEDICINA - DIMED;DIMED;267;192;0.12;1.03;0.13;0.19;1.07;0.2;0.16;1.06;0.17
MEDICINA ANIMALE, PRODUZIONI E SALUTE - MAPS;MAPS;127;77;0.08;0.98;0.08;0.08;1.08;0.08;0.08;1.04;0.08
MEDICINA MOLECOLARE - DMM;DMM;157;115;0.07;1.26;0.09;0.11;1.11;0.13;0.1;1.15;0.11
NEUROSCIENZE - DNS;DNS;222;131;0.15;1.06;0.16;0.13;1.09;0.14;0.14;1.07;0.15
PSICOLOGIA DELLO SVILUPPO E DELLA SOCIALIZZAZIONE - DPSS;DPSS;172;122;0.08;1.19;0.1;0.12;1.11;0.13;0.11;1.13;0.12
PSICOLOGIA GENERALE - DPG;DPG;185;139;0.08;1.06;0.08;0.14;1.08;0.15;0.11;1.08;0.12
SALUTE DELLA DONNA E DEL BAMBINO - SDB;SDB;137;104;0.05;1.2;0.07;0.1;1.14;0.12;0.08;1.16;0.1
SCIENZE BIOMEDICHE - DSB;DSB;222;189;0.05;1.18;0.06;0.18;1.19;0.22;0.14;1.2;0.16
SCIENZE CARDIO-TORACO-VASCOLARI E SANITA' PUBBLICA;Cardio-Tor.;215;124;0.15;1.07;0.16;0.12;1.07;0.13;0.13;1.07;0.14
SCIENZE CHIMICHE - DiSC;DiSC;257;165;0.15;1.03;0.16;0.16;1.12;0.18;0.16;1.09;0.17
SCIENZE CHIRURGICHE ONCOLOGICHE E GASTROENTEROLOGICHE - DiSCOG;DiSCOG;170;141;0.05;1.07;0.05;0.14;0.98;0.14;0.1;1.0;0.11
SCIENZE DEL FARMACO - DSF;DSF;132;78;0.09;1.09;0.1;0.08;1.11;0.08;0.08;1.1;0.09
"SCIENZE ECONOMICHE E AZIENDALI ""MARCO FANNO"" (DSEA)";DSEA;202;121;0.13;1.08;0.15;0.12;1.09;0.13;0.12;1.09;0.14
SCIENZE POLITICHE, GIURIDICHE E STUDI INTERNAZIONALI - SPGI;SPGI;245;140;0.17;0.93;0.16;0.14;0.97;0.13;0.15;0.95;0.14
SCIENZE STATISTICHE;Sc.Statist.;125;75;0.08;1.05;0.09;0.07;1.11;0.08;0.08;1.09;0.08
SCIENZE STORICHE, GEOGRAFICHE E DELL'ANTICHITA' (DiSSGeA);DiSSGeA;182;130;0.09;1.02;0.09;0.13;1.09;0.14;0.11;1.07;0.12
STUDI LINGUISTICI E LETTERARI (DISLL);DISLL;227;158;0.11;1.06;0.12;0.15;1.03;0.16;0.14;1.04;0.15
TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG;DTG;185;114;0.12;1.08;0.13;0.11;1.09;0.12;0.11;1.09;0.12
TERRITORIO E SISTEMI AGRO-FORESTALI (TESAF);TESAF;172;123;0.08;1.06;0.09;0.12;1.03;0.12;0.11;1.04;0.11
